Name,Number,Address,Dissolved On,Company Type,Incorporated On,Nature of Business
"TRACYTOOLS MACHINE CO., LTD",09725570,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,10 August 2015,99999 - Dormant Company
"HEALTHCARE PHARMACHEM CO., LTD",09705442,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,28 July 2015,99999 - Dormant Company
"POWAVE ELECTRONICS CO., LTD",09217235,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,15 September 2014,99999 - Dormant Company
KONE DIGITAL LIMITED,09096346,"6 Prospect Way, Royal Oak Industrial Estate, Daventry, Northamptonshire, NN11 8PL",Active,Private limited Company,20 June 2014,74990 - Non-trading company
ULTRAMIND DESIGNS LTD,09726358,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,11 August 2015,99999 - Dormant Company
"YOCHEN TRADING CO., LTD.",09726370,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,11 August 2015,99999 - Dormant Company
VANS INFORMATION LIMITED,09728268,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,11 August 2015,99999 - Dormant Company
GLORY METAL ENGINEERING LTD.,07320871,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,21 July 2010,99999 - Dormant Company
XINFEI INDUSTRY UK LTD,08172549,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 August 2012,99999 - Dormant Company
"DEARWILL INDUSTRY CO., LTD.",09707781,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,29 July 2015,99999 - Dormant Company
"MACWON CO., LTD.",08610011,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,15 July 2013,99999 - Dormant Company
JRD INDUSTRIAL LIMITED,08601115,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,8 July 2013,99999 - Dormant Company
"YANGYANG TRADE CO., LTD",08963039,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,13 September 2016,Private limited Company,27 March 2014,99999 - Dormant Company
1TIME PRODUCTS LTD,09709692,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,30 July 2015,99999 - Dormant Company
HMSAL LTD,09709936,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,30 July 2015,99999 - Dormant Company
"TOJIN INDUSTRY CO., LTD",09731916,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,13 August 2015,99999 - Dormant Company
"PACIFIC INT'L CO., LIMITED",07745934,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,18 August 2011,99999 - Dormant Company
"PDPG CHEMICAL CO., LTD",09180262,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 August 2014,99999 - Dormant Company
"HEBEI YAGRADN INDUSTRIAL CO., LTD.",07782048,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 September 2011,99999 - Dormant Company
"UK HD FOODS CO., LIMITED",09712007,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,31 July 2015,99999 - Dormant Company
"DINARSU INTERNATIONAL TRADING CO., LTD",09090608,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,17 June 2014,99999 - Dormant Company
WINSPEED TRANSPORTATION COMPANY LIMITED,07375437,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,14 September 2010,99999 - Dormant Company
"NINGBO RELAYLINE INDUSTRY & TRADE CO., LTD",09267480,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,16 October 2014,99999 - Dormant Company
SUNSHINE GENERAL PACKING LTD,08731981,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,14 October 2013,99999 - Dormant Company
SINOCARE INTERNATIONAL LIMITED,08691513,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,16 September 2013,99999 - Dormant Company
ADVANCED SEMITOOL TECHNOLOGY LTD,09220853,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,16 September 2014,99999 - Dormant Company
"UK PACIFIC MATZKER OIL CO., LTD",09737382,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,18 August 2015,99999 - Dormant Company
"SHANGHAI FUSHENG INDUSTRIAL CO., LTD",08680068,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,6 September 2013,99999 - Dormant Company
"ANDING COMMERCIAL TRADING CO., LTD",09739060,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,19 August 2015,99999 - Dormant Company
"VANKING CABLE CO., LTD.",08742813,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,22 October 2013,99999 - Dormant Company
"HANGZHOU YEBAO IMPORT AND EXPORT CO., LTD",09740614,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,19 August 2015,99999 - Dormant Company
"EMERSON CHEMIE CO., LTD.",09720384,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,6 August 2015,99999 - Dormant Company
"LABMAN TECHNOLOGIES CO., LTD",08641839,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,7 August 2013,99999 - Dormant Company
"XINGHAI INTERNATIONAL CO., LTD",08658004,"19 King Street, Gillingham, United Kingdom, ME7 1EP",Active,Private limited Company,20 August 2013,99999 - Dormant Company
"INVISIBLE TROPHY ELECTRIC CO., LTD",07790388,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 September 2011,99999 - Dormant Company
"GRAND FULL HAPPINESS INDUSTRIES (NIG.)CO., LIMITED",06343746,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,17 January 2017,Private limited Company,15 August 2007,99999 - Dormant Company
THE SMART LAB TECHNOLOGY LTD,09746995,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,25 August 2015,99999 - Dormant Company
"NEW CREATION MACHINERY CO., LTD",09747486,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,25 August 2015,99999 - Dormant Company
UK CHALAS INTERNATIONAL GROUP LIMITED,08651319,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,15 August 2013,99999 - Dormant Company
LUCKYSUN LIMITED,09257304,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,9 October 2014,99999 - Dormant Company
"NINGBO SHI YINZHOU YAFAN INDUSTRIAL CO., LTD",08641902,"Rm101, Maple House 118 High Street, Purley, London, England, CR8 2AD",Active,Private limited Company,7 August 2013,99999 - Dormant Company
"UK NOT JUST PAJAMA FASHION (LONDON) CO., LTD",09748833,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,25 August 2015,99999 - Dormant Company
"ZHEJIANG ZHANGHUA HEALTH&BEAUTY HAIR INDUSTRY CO., LTD",05611689,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,3 November 2005,99999 - Dormant Company
GOODWILL GROUP LIMITED,07005583,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,1 September 2009,99999 - Dormant Company
"SHANGHAI VENCER INTERNATIONAL STOCK CO., LTD.",09751286,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,27 August 2015,99999 - Dormant Company
"SHANGHAI VENCER INTERNATIONAL COSMETIC CO., LTD.",09751317,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,27 August 2015,99999 - Dormant Company
"BEDFORD INDUSTRIAL CO., LIMITED",09753706,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,28 August 2015,99999 - Dormant Company
"ZHEJIANG RUITAI REFRACTORY TECHNOLOGY CO., LTD.",07774425,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,15 September 2011,99999 - Dormant Company
"BESTAR GROUP CO., LTD",08227351,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 September 2012,99999 - Dormant Company
"WUXI HONGYUAN DECORATION MATERIAL INDUSTRY CO., LTD",09205728,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,5 September 2014,99999 - Dormant Company
"WQ-SHOW CO., LTD",08675924,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,4 September 2013,99999 - Dormant Company
COFFEE GUARDIAN LIMITED,09755373,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,1 September 2015,99999 - Dormant Company
LITTLE LEMON COMPANY LIMITED,09757427,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,2 September 2015,99999 - Dormant Company
MINOVEL ENTERPRISES LIMITED,09757502,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,2 September 2015,99999 - Dormant Company
CY INDUSTRY LTD,08673656,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,3 September 2013,99999 - Dormant Company
"DARRENANN INTERNATIONAL CO., LTD.",09211569,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,13 December 2016,Private limited Company,10 September 2014,99999 - Dormant Company
MEGONIA LIMITED,08674599,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,3 September 2013,99999 - Dormant Company
LADY DONG BIOTECHNOLOGY LIMITED,09492062,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,16 March 2015,99999 - Dormant Company
"ZHEJIANG VEGAS VALVE MANUFACTURING CO., LTD",09759568,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,3 September 2015,99999 - Dormant Company
SANY INTERNATIONAL DEVELOPMENT LIMITED,08663108,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,27 August 2013,99999 - Dormant Company
JINMART PACKAGING&DECORATION LTD,08710267,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,30 September 2013,99999 - Dormant Company
GINA'S SAGA LIMITED,08579997,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,6 December 2016,Private limited Company,21 June 2013,99999 - Dormant Company
"WENZHOU LISHUN BUTTON CO., LTD",08675292,"19 King Street, Gillingham, United Kingdom, ME7 1EP",Active,Private limited Company,3 September 2013,99999 - Dormant Company
AD INGREDIENTS INTERNATIONAL CORPORATION LTD,09200094,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,7 February 2017,Private limited Company,2 September 2014,99999 - Dormant Company
"DRAGONLI CO., LTD",08293133,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,14 November 2012,99999 - Dormant Company
LAREINA ENTERPRISE LTD,08707260,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,26 September 2013,99999 - Dormant Company
MERCURY CORPORATION LTD,09766478,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 September 2015,99999 - Dormant Company
ZHEJIANG TENGHUA PLASTIC LTD,09766792,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,8 September 2015,99999 - Dormant Company
"SINOMOTOS INDUSTRIAL CO., LTD.",07381503,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,20 September 2010,99999 - Dormant Company
UK KELLY LIMITED,09222917,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,17 September 2014,99999 - Dormant Company
UK NEW FORCE LTD,08687816,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,12 September 2013,99999 - Dormant Company
"WELL FORTUNE HOLDING CO., LTD.",09217765,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,15 September 2014,99999 - Dormant Company
"DECORATIONS (BEIJING) INTERNATIONAL TRADE CO., LTD",09187913,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,28 August 2014,99999 - Dormant Company
"QINGDAO CENTURY FASHION JEWELRY CO., LTD",06951149,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,3 July 2009,99999 - Dormant Company
"SAMPSON INTERNATIONAL CO., LIMITED",09770440,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,10 September 2015,99999 - Dormant Company
ODD INTERNATIONAL GROUP LTD.,09771365,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,10 September 2015,99999 - Dormant Company
"NINGBO MEDAL INTERNATIONAL TRADING CO., LTD",09744420,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 August 2015,99999 - Dormant Company
"DG POWER SYSTEM CO., LTD",07382881,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 September 2010,99999 - Dormant Company
XIUXIAN TEXTILE LIMITED,08199648,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,3 September 2012,99999 - Dormant Company
"NEW BEARING IMPORT&EXPORT CO., LIMITED",08675209,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,3 September 2013,99999 - Dormant Company
"NAWARA MARINE CO., LTD",08677037,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,4 September 2013,99999 - Dormant Company
"GOLDENTRANS MARINE CO., LIMITED",07810761,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 October 2011,99999 - Dormant Company
EVER PACIFIC LIMITED,09774573,"35 Ivor Place, Downstairs Office, London, United Kingdom, NW1 6EA",Active,Private limited Company,14 September 2015,99999 - Dormant Company
IGREEN INTERNATIONAL LTD,09645739,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 June 2015,99999 - Dormant Company
"MZK INTER CO., LTD",09774721,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,14 September 2015,99999 - Dormant Company
"OASIS HOME DECO CO., LTD",08695555,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,18 September 2013,99999 - Dormant Company
"SUNGREAT INDUSTRIAL CO., LTD",09185854,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,24 January 2017,Private limited Company,21 August 2014,99999 - Dormant Company
PANZHONG TECHNOLOGY LIMITED,08678056,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,5 September 2013,99999 - Dormant Company
FDBL PAINT MATERIAL LIMITED,09177801,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,15 August 2014,99999 - Dormant Company
CHINA LIXIN INTERNATIONAL TRADE LTD,08727838,"Unit 25 Cariocca Business Park 2 Sawley Road, Miles Plating, Manchester, United Kingdom, M40 8BB",Active,Private limited Company,10 October 2013,99999 - Dormant Company
XINZE GROUP LIMITED,08754272,"Unit 25 Cariocca Business Park 2 Sawley Road, Miles Plating, Manchester, United Kingdom, M40 8BB",Active,Private limited Company,30 October 2013,99999 - Dormant Company
"SUNNY HOME INTERNATIONAL CO., LTD",08748513,"Unit 25 Cariocca Business Park 2 Sawley Road, Miles Plating, Manchester, United Kingdom, M40 8BB",Active,Private limited Company,25 October 2013,99999 - Dormant Company
"WELLSAILING CO., LTD",08720858,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,7 October 2013,99999 - Dormant Company
COINGOT LIMITED,09177796,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,15 August 2014,99999 - Dormant Company
"SONIA JEWELRY CO., LIMITED",07004437,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,29 August 2009,99999 - Dormant Company
NEOMET LTD,09278080,"9 Pantygraigwen Road, Pontypridd, United Kingdom, CF37 2RR",Active,Private limited Company,23 October 2014,99999 - Dormant Company
VONTEK COMMUNICATION LTD,08251488,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 October 2012,99999 - Dormant Company
BTI-SPORTS LTD,08175662,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 August 2012,99999 - Dormant Company
CHINA RAINBOW INTERNATIONAL GROUP LIMITED,08262037,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 October 2012,99999 - Dormant Company
"HAIXING INTERNATIONAL TRADE CO., LTD.",09255640,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,9 October 2014,99999 - Dormant Company
"QINGDAO SINO CARBON CO., LTD.",08128279,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,3 July 2012,99999 - Dormant Company
DESAY LIMITED,09783464,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,18 September 2015,99999 - Dormant Company
"RETOP MINOR METAL MATERIALS CO., LTD",09783468,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,18 September 2015,99999 - Dormant Company
"UK SU KEYI AGRICULTURAL BIOLOGICAL SCIENCE CO., LTD",09783901,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 September 2015,99999 - Dormant Company
"SHENG MEI CO., LTD.",09104151,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,26 June 2014,99999 - Dormant Company
"SHINING MARINE ENGINEERING (UK) CO., LTD.",08135832,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,9 July 2012,99999 - Dormant Company
"QINGDAO FORWARD INDUSTRIAL CO., LTD.",08653922,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,16 August 2013,99999 - Dormant Company
THREE MUSKETEERS BUILDING MATERIAL LTD,08186585,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 August 2012,99999 - Dormant Company
SYLOVE LTD,09288472,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,30 October 2014,99999 - Dormant Company
PEN WORLD (UK) LTD,08711350,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,30 September 2013,99999 - Dormant Company
J&Y AHEAD TRADING LTD,09785861,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,21 September 2015,99999 - Dormant Company
QINGDAO ZEWANG JEWELRY LTD,09127002,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,20 December 2016,Private limited Company,11 July 2014,99999 - Dormant Company
"HONGKONG CHAMEY TRADING CO., LTD",09787835,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 September 2015,99999 - Dormant Company
"ZHENDING PLASTIC HARDWARE CO., LTD",09227341,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,19 September 2014,99999 - Dormant Company
U-MAN INDUSTRIAL (UK) LIMITED,08203878,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,6 September 2012,99999 - Dormant Company
"OUKA IMPORT & EXPORT CO., LTD",09788408,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,22 September 2015,99999 - Dormant Company
"HUARUISON CO., LTD",07793155,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,30 September 2011,99999 - Dormant Company
ANDERSEN INTERNATIONAL BRAND HOLDINGS GROUP LIMITED,09225247,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 September 2014,99999 - Dormant Company
HANGZHOU DENON PU TECHNOLOGY COMPANY LIMITED,08733259,"Chase Business Centre, 39/41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,15 October 2013,46320 - Wholesale of meat and meat products
ELIMETL INDUSTRIAL LIMITED,08775555,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,14 November 2013,99999 - Dormant Company
"CARL ELECTRIC TECHNOLOGY CO., LTD",08760254,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,4 November 2013,99999 - Dormant Company
"CARPENTER UNION HOLDINGS CO., LTD",08733979,"Chase Business Centre, 39/41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,15 October 2013,46320 - Wholesale of meat and meat products
UK EUROPE AND AMERICA CHI INTERNATIONAL PETROL CHEMICAL LTD,09790970,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,23 September 2015,99999 - Dormant Company
STAROON TEXTILE CO. LIMITED,07029837,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 September 2009,99999 - Dormant Company
AIDCHEM ASIA INDUSTRY LTD,08678660,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,5 September 2013,99999 - Dormant Company
